baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
MYO16 (ENSG00000041515)	152.2701396	-5.317479097	1.012173183	-5.253526953	1.49E-07	0.00013173
ZNF826P (ENSG00000231205)	127.4370284	-7.105347389	1.361000183	-5.220680702	1.78E-07	0.000152133
PRKG1 (ENSG00000185532)	80.06179363	-3.038326811	0.587045777	-5.175621614	2.27E-07	0.000184779
IGFL2 (ENSG00000204866)	138.6566969	8.384700754	1.621008383	5.172521526	2.31E-07	0.000184779
AC099508.1 (ENSG00000247033)	2.90183252	-4.719014759	0.915278333	-5.155824834	2.53E-07	0.000195907
AC103702.2 (ENSG00000272763)	255.5644249	9.217239465	1.794640923	5.135979765	2.81E-07	0.00021135
ZNF732 (ENSG00000186777)	36.11344654	-7.061504182	1.381989278	-5.109666401	3.23E-07	0.000236071
GRIN2B (ENSG00000273079)	338.4082716	9.787152062	1.921971724	5.092245603	3.54E-07	0.000251644
APOL1 (ENSG00000100342)	665.5490264	4.704349821	0.9313669	5.051016762	4.39E-07	0.000296083
ARL17B (ENSG00000228696)	598.1638927	2.604650323	0.515183638	5.055770662	4.29E-07	0.000296083
DLGAP3 (ENSG00000116544)	46.92946368	-5.225941857	1.050524935	-4.974600489	6.54E-07	0.000421645
KLK1 (ENSG00000167748)	77.19534313	6.813923456	1.370144958	4.973140555	6.59E-07	0.000421645
IGFL4 (ENSG00000204869)	80.10564581	6.592478616	1.339485296	4.921650605	8.58E-07	0.000535877
SLC2A3 (ENSG00000059804)	23279.44026	7.093360411	1.448098437	4.898396566	9.66E-07	0.000588979
MUC6 (ENSG00000184956)	97.23632731	-4.30433048	0.882215451	-4.879001468	1.07E-06	0.000634836
LRRC4B (ENSG00000131409)	141.2183567	-4.593812701	0.944723459	-4.862600432	1.16E-06	0.00067411
C6orf223 (ENSG00000181577)	79.84582883	5.00067438	1.034111271	4.835721765	1.33E-06	0.000754766
ABCC5 (ENSG00000114770)	3130.424867	-1.195211243	0.248189429	-4.815721794	1.47E-06	0.000816307
BAGE2 (ENSG00000187172)	138.132079	-7.085378584	1.48000116	-4.787414211	1.69E-06	0.000920277
NOX1 (ENSG00000007952)	300.9723904	7.106246711	1.500704177	4.735274828	2.19E-06	0.001116607
CACNG5 (ENSG00000075429)	88.5743461	-7.524227625	1.590108223	-4.731896557	2.22E-06	0.001116607
AMZ1 (ENSG00000174945)	229.372562	-4.729857004	0.9983111	-4.737858775	2.16E-06	0.001116607
BMS1P8 (ENSG00000260518)	42.45425366	-6.56957867	1.384799929	-4.744063407	2.09E-06	0.001116607
ADA2 (ENSG00000093072)	50.28110849	-5.520251157	1.169680372	-4.719452672	2.36E-06	0.001159496
CDO1 (ENSG00000129596)	71.20124196	-6.078459914	1.288787403	-4.716417853	2.40E-06	0.001159496
ATP2B2 (ENSG00000157087)	426.797766	-6.587414159	1.399443184	-4.707167991	2.51E-06	0.001190881
AF254983.1 (ENSG00000273840)	46.61644773	-8.282036229	1.778042411	-4.657952014	3.19E-06	0.001486641
AC006148.1 (ENSG00000242593)	17.82112074	-7.08438619	1.525254261	-4.644724733	3.41E-06	0.001556831
JAM2 (ENSG00000154721)	67.28998591	-3.947118297	0.851129192	-4.637507836	3.53E-06	0.001583889
CEP55 (ENSG00000138180)	6255.472509	1.09523513	0.238385194	4.594392435	4.34E-06	0.001915789
EREG (ENSG00000124882)	7574.801764	6.657924478	1.45215125	4.584869846	4.54E-06	0.001920034
ZNF257 (ENSG00000197134)	78.62429055	-6.595288209	1.438950563	-4.583401529	4.57E-06	0.001920034
CWC25 (ENSG00000273559)	1863.349898	0.887308039	0.193298489	4.590351649	4.42E-06	0.001920034
CRISP3 (ENSG00000096006)	9.993449655	-5.432430586	1.186507797	-4.578503909	4.68E-06	0.001933832
GREB1 (ENSG00000196208)	4515.439631	-5.571207967	1.21896079	-4.570457075	4.87E-06	0.001946798
AC007448.5 (ENSG00000285877)	8.588321287	-2.802379333	0.6127989	-4.57308153	4.81E-06	0.001946798
CSF2RA (ENSG00000198223)	270.6719782	6.4579187	1.414040603	4.566996651	4.95E-06	0.001948753
RERG (ENSG00000134533)	363.3179385	-6.987909129	1.535405991	-4.551180058	5.33E-06	0.002050691
C14orf39 (ENSG00000179008)	18.88909934	-6.417017912	1.411325603	-4.546801884	5.45E-06	0.002050691
ZFHX4-AS1 (ENSG00000253661)	16.91139763	-6.750118065	1.483686896	-4.549556975	5.38E-06	0.002050691
DLGAP1-AS1 (ENSG00000177337)	312.1240157	2.09117887	0.461293373	4.533294846	5.81E-06	0.002154674
GPRASP1 (ENSG00000198932)	255.9827317	-2.77442147	0.612573304	-4.529125659	5.92E-06	0.002166232
TSPEAR (ENSG00000175894)	52.28632068	-4.9162408	1.087919429	-4.518938323	6.22E-06	0.002241094
PSMD11 (ENSG00000108671)	12329.7854	0.920578963	0.204422056	4.503325033	6.69E-06	0.002378797
CD36 (ENSG00000135218)	35.41207051	-2.957615912	0.658163183	-4.49374257	7.00E-06	0.002413927
ASCL1 (ENSG00000139352)	142.5992251	-5.103834936	1.135660352	-4.494156132	6.98E-06	0.002413927
LINC02086 (ENSG00000244649)	98.79759291	6.90172521	1.536610668	4.491524987	7.07E-06	0.002413927
KCNH7 (ENSG00000184611)	37.35027476	-6.977484477	1.556786887	-4.481977935	7.40E-06	0.00249129
MPPED2 (ENSG00000066382)	108.949779	-6.231626762	1.39568345	-4.464928463	8.01E-06	0.002568542
NOX4 (ENSG00000086991)	43.62152358	-6.523506948	1.461199547	-4.464487387	8.03E-06	0.002568542
IGSF1 (ENSG00000147255)	843.2631856	-5.707030229	1.277655784	-4.466797945	7.94E-06	0.002568542
MRM1 (ENSG00000278619)	737.6367095	1.936053877	0.433373256	4.467405057	7.92E-06	0.002568542
SNCG (ENSG00000173267)	168.224962	3.602069763	0.814284782	4.423599513	9.71E-06	0.003068128
LDB2 (ENSG00000169744)	47.99236244	-5.332428559	1.208690909	-4.411738783	1.03E-05	0.003131315
LNP1 (ENSG00000206535)	191.5986462	-2.28347789	0.517639489	-4.411328614	1.03E-05	0.003131315
AC005064.1 (ENSG00000234715)	11.34820642	-5.845335635	1.323641114	-4.416103107	1.00E-05	0.003131315
TMED10P2 (ENSG00000239405)	5.652979375	-4.487164396	1.019860713	-4.399781597	1.08E-05	0.0032638
DNAJC27-AS1 (ENSG00000224165)	27.17544131	-2.983126695	0.679637619	-4.389290131	1.14E-05	0.003385456
CLIC5 (ENSG00000112782)	247.7919465	6.074423122	1.387310386	4.378560977	1.19E-05	0.003475632
DNM3OS (ENSG00000230630)	35.65883098	-5.303744113	1.211095913	-4.379293212	1.19E-05	0.003475632
LINC00200 (ENSG00000229205)	48.74326457	-6.342185263	1.450323512	-4.372945215	1.23E-05	0.003526215
ALDH1A2 (ENSG00000128918)	17.29183438	-2.67269931	0.613026351	-4.359844087	1.30E-05	0.00361802
RNASE1 (ENSG00000129538)	52.81331682	4.422767989	1.015741752	4.35422486	1.34E-05	0.00361802
NPY1R (ENSG00000164128)	321.3376829	-6.102309737	1.401844537	-4.3530574	1.34E-05	0.00361802
ABO (ENSG00000175164)	97.45462589	5.925280216	1.357575414	4.364604835	1.27E-05	0.00361802
DSCR8 (ENSG00000198054)	54.71552759	-7.62339254	1.750672005	-4.354552147	1.33E-05	0.00361802
AC116562.3 (ENSG00000284727)	55.80562593	6.962622775	1.596603779	4.360895839	1.30E-05	0.00361802
CRTC3-AS1 (ENSG00000259736)	4.857379236	-2.234837556	0.514460286	-4.34404291	1.40E-05	0.003730536
HEPH (ENSG00000089472)	581.9477094	7.184786461	1.656872718	4.336353893	1.45E-05	0.003784541
ROBO2 (ENSG00000185008)	588.4674403	-6.257355122	1.442395112	-4.338169945	1.44E-05	0.003784541
CD248 (ENSG00000174807)	64.44741031	-5.097573611	1.177033723	-4.330864536	1.49E-05	0.003840948
RAB6C (ENSG00000222014)	36.82616169	-4.062993902	0.939784451	-4.32332531	1.54E-05	0.003895936
AL596244.1 (ENSG00000261534)	108.094072	-3.040681641	0.703002878	-4.325276232	1.52E-05	0.003895936
AC109782.1 (ENSG00000286447)	5.461755467	-3.868544399	0.89542236	-4.320357153	1.56E-05	0.003909999
TMEM139 (ENSG00000178826)	738.5136629	4.45586693	1.033987357	4.309401754	1.64E-05	0.004068897
PPWD1 (ENSG00000113593)	2017.46661	0.723977739	0.168140307	4.305795279	1.66E-05	0.004095997
DAAM2 (ENSG00000146122)	139.8014138	-3.934952858	0.914376457	-4.303427572	1.68E-05	0.004100608
ZNF300P1 (ENSG00000197083)	39.9595182	-7.292688983	1.695831234	-4.300362464	1.71E-05	0.004118516
CNTNAP4 (ENSG00000152910)	45.69658071	-8.456684658	1.967882054	-4.297353411	1.73E-05	0.004135788
PELI2 (ENSG00000139946)	550.5986145	4.883883694	1.137816165	4.292331085	1.77E-05	0.004152857
RALYL (ENSG00000184672)	30.98322578	-6.422139482	1.496115635	-4.292542189	1.77E-05	0.004152857
CHI3L1 (ENSG00000133048)	365.691718	6.968699049	1.627851175	4.280919014	1.86E-05	0.00433193
SCGN (ENSG00000079689)	62.60187538	-6.029217255	1.413404731	-4.265740111	1.99E-05	0.004595458
ACSL5 (ENSG00000197142)	2719.151917	5.704073508	1.339742842	4.257588343	2.07E-05	0.004723661
TREML2 (ENSG00000112195)	176.2387738	8.17245314	1.923579373	4.248565592	2.15E-05	0.004874432
GLRA3 (ENSG00000145451)	36.14624183	-5.030781751	1.185329703	-4.244204577	2.19E-05	0.004926592
AL365181.3 (ENSG00000272405)	1709.387678	3.886120185	0.917732973	4.234478112	2.29E-05	0.005099987
C6 (ENSG00000039537)	24.76290453	-7.036359885	1.663147088	-4.230750206	2.33E-05	0.005140555
DISP3 (ENSG00000204624)	76.26703552	-4.247691452	1.006453277	-4.220455682	2.44E-05	0.005324407
AC008875.3 (ENSG00000287263)	328.2196513	4.93301489	1.169241622	4.218986734	2.45E-05	0.005324407
AC006262.1 (ENSG00000268460)	30.58867628	6.189058866	1.469971854	4.210324742	2.55E-05	0.005486226
TNFRSF1B (ENSG00000028137)	1446.029183	5.223572093	1.242905046	4.202712112	2.64E-05	0.005626806
AL450338.2 (ENSG00000288021)	4.349901798	-4.020451691	0.961268385	-4.18244452	2.88E-05	0.006101981
CACNG6 (ENSG00000130433)	174.5029161	5.844654734	1.398654655	4.178769014	2.93E-05	0.00615059
PIPOX (ENSG00000179761)	44.14040147	-3.551629604	0.851788364	-4.169615078	3.05E-05	0.006350847
APTX (ENSG00000137074)	2486.726013	0.617965674	0.149099635	4.144649126	3.40E-05	0.007026808
CPE (ENSG00000109472)	3689.563716	-4.264059721	1.033172968	-4.127149908	3.67E-05	0.007522625
FUT5 (ENSG00000130383)	7.35607688	-5.772062505	1.399902232	-4.12318973	3.74E-05	0.007592449
SEMA4C (ENSG00000168758)	3114.231279	-1.991917201	0.485015791	-4.106912063	4.01E-05	0.008083455
NEUROG2 (ENSG00000178403)	33.68877713	-5.909908701	1.442396162	-4.097285377	4.18E-05	0.008361122
SPOCK2 (ENSG00000107742)	265.8783318	-3.689370374	0.902072018	-4.089884512	4.32E-05	0.008565517
DHPS (ENSG00000095059)	3554.564725	-0.95112624	0.233526024	-4.072891854	4.64E-05	0.009107892
GPX2 (ENSG00000176153)	4510.469732	6.138338368	1.507435635	4.072040109	4.66E-05	0.009107892
SEC63 (ENSG00000025796)	7339.189704	-0.940881184	0.231353024	-4.066863568	4.77E-05	0.009127767
MMP13 (ENSG00000137745)	45.78085327	-4.46908969	1.09890714	-4.066849263	4.77E-05	0.009127767
S100A8 (ENSG00000143546)	24.17601202	-5.057796003	1.244376512	-4.064522236	4.81E-05	0.009127767
WEE2-AS1 (ENSG00000228775)	41.71544583	-3.016494365	0.741967779	-4.065532833	4.79E-05	0.009127767
AL035446.1 (ENSG00000234147)	117.0598653	5.024792459	1.237898123	4.059132463	4.93E-05	0.009206826
LINC01667 (ENSG00000280081)	6.546383768	-5.923411851	1.45930017	-4.059077064	4.93E-05	0.009206826
FOXQ1 (ENSG00000164379)	2012.644153	5.799175326	1.43118637	4.052005698	5.08E-05	0.009420873
SMAD9 (ENSG00000120693)	891.6957226	-4.231539899	1.049366324	-4.032471599	5.52E-05	0.010165889
DDIT4L (ENSG00000145358)	150.7448627	5.86112006	1.454585843	4.029408157	5.59E-05	0.010225705
ANOS1 (ENSG00000011201)	62.90763906	-4.615420962	1.146723489	-4.024876972	5.70E-05	0.010267153
PAK5 (ENSG00000101349)	81.2049739	-7.319752754	1.819264218	-4.023468763	5.73E-05	0.010267153
ERBB4 (ENSG00000178568)	53.35196942	-4.191074749	1.041437576	-4.024316815	5.71E-05	0.010267153
IGF2-AS (ENSG00000099869)	27.35197868	-6.296003538	1.574156231	-3.999605259	6.34E-05	0.011280565
CAST (ENSG00000153113)	12036.8841	1.486927221	0.372012328	3.996983722	6.42E-05	0.01132751
SFTPD (ENSG00000133661)	8.432568214	-3.990881946	1.001022692	-3.986804671	6.70E-05	0.011482171
CHST4 (ENSG00000140835)	13.63907401	4.367182785	1.095704736	3.985729589	6.73E-05	0.011482171
PGBD5 (ENSG00000177614)	222.065217	-4.112530179	1.031540159	-3.986786303	6.70E-05	0.011482171
DACT3 (ENSG00000197380)	148.4051851	-3.479561034	0.871619972	-3.992062076	6.55E-05	0.011482171
SCAMP5 (ENSG00000198794)	1222.001659	-2.66538009	0.668125118	-3.989342739	6.63E-05	0.011482171
HEY1 (ENSG00000164683)	309.2132492	-2.912321365	0.734505118	-3.965011672	7.34E-05	0.01244365
ADHFE1 (ENSG00000147576)	48.83607827	-2.463032578	0.622426236	-3.957147747	7.59E-05	0.012775738
KCNB1 (ENSG00000158445)	167.3987389	-3.683042823	0.931168248	-3.95529254	7.64E-05	0.012791137
PHF24 (ENSG00000122733)	44.43830101	-5.256037115	1.329614517	-3.953053347	7.72E-05	0.012827637
ZNF251 (ENSG00000198169)	1205.266194	-1.187129467	0.300859564	-3.945792684	7.95E-05	0.013137362
AL110292.1 (ENSG00000258081)	4.107047115	-5.539764941	1.405615188	-3.941167533	8.11E-05	0.013307455
FGF9 (ENSG00000102678)	179.342072	7.485316627	1.901033603	3.937498324	8.23E-05	0.013368078
AL354696.2 (ENSG00000278390)	24.16843275	-1.201795349	0.305255062	-3.937020213	8.25E-05	0.013368078
TSPAN8 (ENSG00000127324)	5091.639526	6.057445616	1.539514306	3.934647176	8.33E-05	0.013415931
SKAP1 (ENSG00000141293)	80.52076532	5.853171778	1.488839436	3.931365356	8.45E-05	0.013515423
VAV1 (ENSG00000141968)	145.3188672	4.933410933	1.257815182	3.922206539	8.77E-05	0.01395257
PCDHA8 (ENSG00000204962)	29.08203742	-6.444829955	1.643924906	-3.920391943	8.84E-05	0.013971275
AC093582.1 (ENSG00000236529)	30.70411999	-1.775132503	0.45335578	-3.915539583	9.02E-05	0.014167839
TMPRSS6 (ENSG00000187045)	133.0548526	-4.859105783	1.241857207	-3.912773349	9.12E-05	0.014243792
HMGCLL1 (ENSG00000146151)	46.50134615	-5.475600658	1.401914036	-3.905803435	9.39E-05	0.014571856
ANKS1B (ENSG00000185046)	51.91652883	-3.453068689	0.884901744	-3.902205769	9.53E-05	0.014701111
ZNF517 (ENSG00000197363)	354.1229754	-1.045133961	0.268681842	-3.88985707	0.000100303	0.015367975
PKHD1L1 (ENSG00000205038)	15.37920497	-4.324205987	1.112035284	-3.888551064	0.000100844	0.015367975
FUT2 (ENSG00000176920)	452.1003922	4.194131687	1.079940529	3.883669123	0.000102892	0.015485975
PLCXD3 (ENSG00000182836)	1143.807549	-6.013942961	1.548261543	-3.884319796	0.000102617	0.015485975
AKR1B10 (ENSG00000198074)	5793.542542	6.246593305	1.608954267	3.882393325	0.000103433	0.015485975
LUCAT1 (ENSG00000248323)	799.1152375	4.142316107	1.067945273	3.878771893	0.000104985	0.015626916
GOLGA8IP (ENSG00000277561)	33.85818707	-4.121125958	1.063971601	-3.873342066	0.000107353	0.015795696
AC245407.2 (ENSG00000287978)	29.17625496	-2.102292671	0.54275449	-3.873376838	0.000107338	0.015795696
CXCL6 (ENSG00000124875)	310.7312651	-6.340425891	1.638571725	-3.869483278	0.000109066	0.015956082
FOLH1 (ENSG00000086205)	82.4518224	-5.317979087	1.375401025	-3.866493474	0.000110411	0.015970357
AL844908.1 (ENSG00000272825)	39.30610551	-4.726196874	1.222194488	-3.8669761	0.000110193	0.015970357
DOCK3 (ENSG00000088538)	341.4094542	3.749348657	0.970665983	3.86265587	0.000112161	0.016132274
GATA3-AS1 (ENSG00000197308)	187.0926388	-6.087099769	1.579418559	-3.854013069	0.000116197	0.016619472
LIMD2 (ENSG00000136490)	547.945987	-2.895070759	0.751686675	-3.85143286	0.000117429	0.016702279
MYOZ3 (ENSG00000164591)	93.95823124	-5.514308517	1.435821484	-3.840525148	0.000122771	0.017365708
UGT1A6 (ENSG00000167165)	1241.480752	5.613685211	1.462796077	3.837640325	0.000124222	0.017465043
PPM1E (ENSG00000175175)	642.0403711	-4.55081975	1.186213492	-3.836425552	0.000124838	0.017465043
ZNF627 (ENSG00000198551)	830.9080881	-1.825946255	0.47654729	-3.831616069	0.000127304	0.017713285
AC007952.2 (ENSG00000228157)	9.727700481	3.851719074	1.006530062	3.826730287	0.000129857	0.017970758
NSFP1 (ENSG00000260075)	57.94125807	5.749703746	1.503396939	3.824474826	0.000131051	0.018038555
NLRP12 (ENSG00000142405)	23.8881582	6.952883475	1.81901225	3.822340106	0.000132191	0.018098176
AL161449.2 (ENSG00000285637)	9.966668113	-4.944529302	1.295578973	-3.816463068	0.000135378	0.018435936
SCUBE2 (ENSG00000175356)	128.4379966	-3.993299954	1.047334673	-3.812821305	0.000137389	0.018610818
AL022069.3 (ENSG00000286760)	49.32022723	-2.295830197	0.602470774	-3.810691402	0.000138579	0.018673111
CYP24A1 (ENSG00000019186)	4284.358748	5.82884904	1.532328043	3.803917227	0.000142426	0.018991589
TBC1D2 (ENSG00000095383)	1308.786396	2.379836121	0.625440724	3.80505463	0.000141773	0.018991589
CT83 (ENSG00000204019)	9.685285914	-6.497437535	1.709595441	-3.800570228	0.000144363	0.019150229
PURPL (ENSG00000250337)	206.1287392	4.250116183	1.119663484	3.795887108	0.000147116	0.01941482
RIMS1 (ENSG00000079841)	82.67019602	-5.225172397	1.377545784	-3.793102528	0.000148777	0.019533235
PHACTR1 (ENSG00000112137)	166.9421394	-3.75940969	0.993630085	-3.783510328	0.000154632	0.020198398
TRIM58 (ENSG00000162722)	1950.764534	-6.927235737	1.832899956	-3.779385621	0.000157216	0.020328478
AC022148.1 (ENSG00000180458)	16.04763778	-6.992838197	1.850107233	-3.779693454	0.000157022	0.020328478
GRM2 (ENSG00000164082)	36.05324039	-3.431731565	0.908533035	-3.777222657	0.000158587	0.020402729
TFEB (ENSG00000112561)	287.6656547	1.605042047	0.425191298	3.774870401	0.000160091	0.020485268
PNCK (ENSG00000130822)	28.94562432	-3.611042399	0.95689101	-3.773723821	0.000160829	0.020485268
CACNG1 (ENSG00000108878)	8.819929949	-5.692058759	1.510853428	-3.767446037	0.000164926	0.020903168
OTUD6B-AS1 (ENSG00000253738)	1937.612241	-0.73834564	0.196261321	-3.762053763	0.000168524	0.021253924
S100A9 (ENSG00000163220)	95.99403751	-4.06396466	1.082607969	-3.753865459	0.000174128	0.021853108
CFAP58-DT (ENSG00000231233)	7.11685374	-3.327727705	0.886937942	-3.751928458	0.00017548	0.021915255
CFTR (ENSG00000001626)	1647.162445	6.587241752	1.757062125	3.749009019	0.000177535	0.021957698
ANKRD34B (ENSG00000189127)	14.31193401	-4.428635544	1.181184946	-3.749315938	0.000177318	0.021957698
TUBB8 (ENSG00000261456)	12.82902739	-3.802929563	1.017211743	-3.738582051	0.000185061	0.02277853
MIR548XHG (ENSG00000224141)	29.00712958	-5.631475093	1.507487714	-3.73566898	0.000187217	0.022933611
LINC01547 (ENSG00000183250)	335.2271169	-2.259078317	0.605195719	-3.732806176	0.000189358	0.023085483
SPTSSB (ENSG00000196542)	2999.827193	-5.32098911	1.431708964	-3.716529857	0.000201978	0.024507276
GNA15 (ENSG00000060558)	47.83688701	4.465745673	1.202859447	3.712608055	0.000205134	0.024656581
ABCA12 (ENSG00000144452)	1037.01275	-5.279580507	1.421701869	-3.713563738	0.000204361	0.024656581
AL390800.1 (ENSG00000286099)	15.92059108	-6.9216511	1.868467773	-3.704453028	0.000211847	0.025344468
SCRG1 (ENSG00000164106)	8.638058063	-4.299417138	1.160978539	-3.703270124	0.000212838	0.025344556
DOCK9 (ENSG00000088387)	4473.221232	1.945317612	0.525630742	3.700920544	0.000214819	0.025461988
AC022387.2 (ENSG00000286373)	24.0166458	-2.775253521	0.750332698	-3.698697296	0.000216709	0.025567651
LINC01829 (ENSG00000236780)	3.263567478	-4.521680689	1.223492622	-3.695715535	0.000219268	0.025750958
LINC00645 (ENSG00000258548)	3.57130388	-4.101425914	1.110535983	-3.693194978	0.000221454	0.025888894
DNAJB9 (ENSG00000128590)	1447.012259	-1.459541288	0.395495845	-3.690408647	0.000223894	0.026055165
KLK10 (ENSG00000129451)	497.9278689	5.466311564	1.484925671	3.681202144	0.000232137	0.026892163
KCNN1 (ENSG00000105642)	63.32121907	-4.307684298	1.172488206	-3.673968129	0.000238813	0.027540894
NPY4R2 (ENSG00000264717)	12.43043595	6.591976937	1.795599367	3.671184707	0.000241429	0.027717756
EFNB3 (ENSG00000108947)	625.1611509	-3.8885744	1.05995202	-3.668632472	0.000243851	0.027870901
DENND2A (ENSG00000146966)	943.5277305	-4.797081655	1.308027095	-3.667417651	0.000245012	0.027879147
NEXMIF (ENSG00000050030)	72.80376745	-6.077658751	1.659782284	-3.661720462	0.000250527	0.028380512
LINC00460 (ENSG00000233532)	146.1124197	4.606588593	1.258454918	3.660511416	0.000251712	0.02838916
PSG2 (ENSG00000242221)	79.0111814	8.077558052	2.207374221	3.659351448	0.000252854	0.028392884
OLFM3 (ENSG00000118733)	103.4233057	-6.515755281	1.781917274	-3.656598079	0.000255585	0.028517969
HAPLN1 (ENSG00000145681)	12.36002085	-4.127121694	1.12886717	-3.655985225	0.000256196	0.028517969
AL590666.2 (ENSG00000229953)	280.5638188	3.834496055	1.049400385	3.653987657	0.000258199	0.028616462
RAET1E (ENSG00000164520)	83.0530408	4.167299201	1.142134396	3.648694248	0.000263577	0.029086584
RAB3A (ENSG00000105649)	246.7762406	-2.376295305	0.651989114	-3.644685556	0.000267719	0.029416909
ASPDH (ENSG00000204653)	22.77177909	-3.889987772	1.068214112	-3.641580585	0.000270969	0.029646818
ETV7 (ENSG00000010030)	39.19471309	3.743812278	1.028439405	3.640284745	0.000272337	0.029669635
BTAF1 (ENSG00000095564)	4679.64592	0.706136126	0.194537717	3.629816043	0.000283623	0.030638494
KCNH8 (ENSG00000183960)	126.7918978	-5.078381746	1.398715379	-3.630747056	0.000282602	0.030638494
BACH2 (ENSG00000112182)	254.2042291	-3.687503133	1.016783719	-3.626634715	0.000287139	0.030887957
INHBC (ENSG00000175189)	13.48564074	-3.072607189	0.847503985	-3.625478162	0.000288427	0.030896715
AFF2 (ENSG00000155966)	55.33168281	-4.60050294	1.269732632	-3.623206039	0.000290974	0.030910841
SENCR (ENSG00000254703)	13.01736792	-6.142346223	1.694881068	-3.624057368	0.000290017	0.030910841
TRHR (ENSG00000174417)	6.184211509	-2.864553314	0.791087856	-3.621030574	0.000293432	0.031043148
AP005901.5 (ENSG00000286293)	5.451159233	-4.036355849	1.115553892	-3.618252671	0.000296599	0.031249059
AL033397.1 (ENSG00000231683)	20.66702358	5.625743982	1.556352855	3.614696991	0.000300699	0.031551223
FNDC5 (ENSG00000160097)	35.69373004	-2.054276101	0.569036717	-3.61009411	0.000306086	0.031916115
SALL2 (ENSG00000165821)	563.7636249	-3.74849136	1.038478428	-3.609599641	0.00030667	0.031916115
AC112178.1 (ENSG00000249803)	12.14540612	-6.36162067	1.763881801	-3.606602588	0.000310232	0.032156137
IL1RL1 (ENSG00000115602)	91.29973466	-4.840378305	1.342909398	-3.604396776	0.000312879	0.032179021
FPR1 (ENSG00000171051)	58.36989304	6.937521709	1.924777655	3.604323695	0.000312967	0.032179021
RXFP4 (ENSG00000173080)	15.71780588	4.389994354	1.219699463	3.599242672	0.000319145	0.032683028
GPR153 (ENSG00000158292)	1151.384408	-2.85799061	0.794478194	-3.597317877	0.000321515	0.032794578
PDE6B (ENSG00000133256)	28.42587067	-4.241875892	1.180061019	-3.594624197	0.00032486	0.032858451
FAM222A (ENSG00000139438)	748.894366	-2.516518566	0.700064188	-3.594696899	0.000324769	0.032858451
